Power,RMSE
1,0.18774377192967037
2,0.1614566167477744
3,0.152180849720988
4,0.14945167196422116
5,0.14893951306046327
6,0.14925905756093624
7,0.1499114458498683
8,0.15069396460383447
9,0.15151984891077241
10,0.15234904013517364
